("GD_Ch40_32.dat","CA3_Ch59_45.dat")	[0,12,89]
("GD_Ch30_18.dat","CA3_Ch61_42.dat")	[1,918,490]
("GD_Ch34_31.dat","CA3_Ch60_45.dat")	[0,143,568]
("GD_Ch34_31.dat","CA3_Ch59_56.dat")	[6,143,4024]
("GD_Ch34_31.dat","CA3_Ch61_53.dat")	[1,143,3149]
("GD_Ch39_35.dat","CA3_Ch62_42.dat")	[0,6,1801]
("GD_Ch62_10.dat","CA3_Ch62_50.dat")	[1,452,412]
("GD_Ch28_23.dat","CA3_Ch48_63.dat")	[1,44,965]
("GD_Ch34_31.dat","CA3_Ch59_36.dat")	[1,143,743]
("GD_Ch32_17.dat","CA3_Ch60_51.dat")	[15,1953,1386]
("GD_Ch43_05.dat","CA3_Ch62_49.dat")	[2,95,2519]
("GD_Ch35_04.dat","CA3_Ch61_47.dat")	[0,4,811]
("GD_Ch57_10.dat","CA3_Ch60_36.dat")	[46,3585,2936]
("GD_Ch42_04.dat","CA3_Ch59_56.dat")	[60,2482,4024]
("GD_Ch62_10.dat","CA3_Ch61_36.dat")	[16,452,5399]
("GD_Ch34_25.dat","CA3_Ch32_60.dat")	[4,1108,403]
("GD_Ch36_07.dat","CA3_Ch63_37.dat")	[0,2,2269]
("GD_Ch32_12.dat","CA3_Ch60_40.dat")	[0,6,719]
("GD_Ch34_34.dat","CA3_Ch59_32.dat")	[0,11,5474]
("GD_Ch36_02.dat","CA3_Ch60_43.dat")	[0,3,421]
("GD_Ch28_08.dat","CA3_Ch61_36.dat")	[0,14,5399]
("GD_Ch35_04.dat","CA3_Ch59_53.dat")	[0,4,2488]
("GD_Ch55_10.dat","CA3_Ch47_63.dat")	[1,816,732]
("GD_Ch35_11.dat","CA3_Ch52_56.dat")	[0,12,4]
("GD_Ch50_02.dat","CA3_Ch63_33.dat")	[0,11,526]
("GD_Ch31_11.dat","CA3_Ch55_35.dat")	[0,39,211]
("GD_Ch28_08.dat","CA3_Ch59_56.dat")	[0,14,4024]
("GD_Ch32_12.dat","CA3_Ch64_33.dat")	[0,6,13]
("GD_Ch30_18.dat","CA3_Ch56_35.dat")	[2,918,60]
("GD_Ch55_10.dat","CA3_Ch62_40.dat")	[14,816,3245]
("GD_Ch40_32.dat","CA3_Ch57_30.dat")	[0,12,2799]
("GD_Ch34_34.dat","CA3_Ch60_47.dat")	[0,11,544]
("GD_Ch28_23.dat","CA3_Ch57_37.dat")	[0,44,82]
("GD_Ch59_11.dat","CA3_Ch39_62.dat")	[0,8,166]
("GD_Ch34_25.dat","CA3_Ch59_48.dat")	[2,1108,148]
("GD_Ch35_11.dat","CA3_Ch62_48.dat")	[1,12,5596]
("GD_Ch28_08.dat","CA3_Ch33_63.dat")	[0,14,927]
("GD_Ch43_05.dat","CA3_Ch60_54.dat")	[3,95,6099]
("GD_Ch55_10.dat","CA3_Ch63_39.dat")	[40,816,8750]
("GD_Ch35_14.dat","CA3_Ch64_33.dat")	[0,6,13]
("GD_Ch36_05.dat","CA3_Ch62_43.dat")	[0,5,2164]
("GD_Ch37_33.dat","CA3_Ch60_47.dat")	[0,14,544]
